accelerating voltage - Plot 0	plate current (amps) - Plot 0
-1	2.24E-07
-0.95	2.19E-07
-0.9	3.54E-07
-0.85	1.23E-07
-0.8	2.16E-07
-0.75	1.93E-07
-0.7	3.80E-07
-0.65	1.53E-07
-0.6	1.20E-07
-0.55	1.74E-07
-0.5	2.03E-07
-0.45	2.08E-07
-0.4	1.19E-07
-0.35	3.46E-07
-0.3	1.93E-07
-0.25	2.26E-07
-0.2	2.96E-07
-0.15	2.88E-07
-0.1	1.01E-07
-0.05	2.72E-07
3.19E-16	1.95E-07
0.05	-1.85E-07
0.1	1.77E-07
0.15	1.58E-07
0.2	2.63E-07
0.25	1.34E-07
0.3	2.71E-07
0.35	2.80E-07
0.4	1.71E-07
0.45	1.66E-07
0.5	2.03E-07
0.55	3.06E-07
0.6	1.49E-07
0.65	1.67E-07
0.7	2.73E-07
0.75	3.40E-08
0.8	1.60E-07
0.85	1.50E-07
0.9	2.57E-07
0.95	3.46E-07
1	1.21E-07
1.05	1.62E-07
1.1	1.29E-07
1.15	2.06E-07
1.2	1.28E-07
1.25	5.78E-08
1.3	-1.23E-07
1.35	-6.14E-07
1.4	-1.17E-06
1.45	-2.43E-06
1.5	-3.87E-06
1.55	-6.03E-06
1.6	-9.02E-06
1.65	-1.24E-05
1.7	-1.61E-05
1.75	-1.98E-05
1.8	-2.34E-05
1.85	-2.71E-05
1.9	-3.02E-05
1.95	-3.32E-05
2	-3.55E-05
2.05	-3.74E-05
2.1	-3.92E-05
2.15	-4.04E-05
2.2	-4.19E-05
2.25	-4.29E-05
2.3	-4.34E-05
2.35	-4.41E-05
2.4	-4.45E-05
2.45	-4.45E-05
2.5	-4.47E-05
2.55	-4.47E-05
2.6	-4.43E-05
2.65	-4.41E-05
2.7	-4.37E-05
2.75	-4.33E-05
2.8	-4.27E-05
2.85	-4.22E-05
2.9	-4.17E-05
2.95	-4.11E-05
3	-4.06E-05
3.05	-4.00E-05
3.1	-3.95E-05
3.15	-3.89E-05
3.2	-3.84E-05
3.25	-3.80E-05
3.3	-3.75E-05
3.35	-3.69E-05
3.4	-3.65E-05
3.45	-3.60E-05
3.5	-3.55E-05
3.55	-3.51E-05
3.6	-3.48E-05
3.65	-3.44E-05
3.7	-3.40E-05
3.75	-3.35E-05
3.8	-3.33E-05
3.85	-3.30E-05
3.9	-3.27E-05
3.95	-3.24E-05
4	-3.20E-05
4.05	-3.19E-05
4.1	-3.16E-05
4.15	-3.12E-05
4.2	-3.11E-05
4.25	-3.08E-05
4.3	-3.05E-05
4.35	-3.05E-05
4.4	-3.02E-05
4.45	-3.00E-05
4.5	-2.98E-05
4.55	-2.96E-05
4.6	-2.95E-05
4.65	-2.94E-05
4.7	-2.91E-05
4.75	-2.91E-05
4.8	-2.88E-05
4.85	-2.87E-05
4.9	-2.86E-05
4.95	-2.83E-05
5	-2.81E-05
5.05	-2.81E-05
5.1	-2.80E-05
5.15	-2.77E-05
5.2	-2.78E-05
5.25	-2.76E-05
5.3	-2.73E-05
5.35	-2.72E-05
5.4	-2.72E-05
5.45	-2.71E-05
5.5	-2.71E-05
5.55	-2.69E-05
5.6	-2.68E-05
5.65	-2.66E-05
5.7	-2.67E-05
5.75	-2.67E-05
5.8	-2.64E-05
5.85	-2.64E-05
5.9	-2.64E-05
5.95	-2.64E-05
6	-2.64E-05
