accelerating voltage - Plot 0	plate current (amps) - Plot 0
-1	2.57E-07
-0.95	2.36E-07
-0.9	3.37E-07
-0.85	3.04E-07
-0.8	1.61E-07
-0.75	2.68E-07
-0.7	3.33E-07
-0.65	3.43E-07
-0.6	2.06E-07
-0.55	2.18E-07
-0.5	2.60E-07
-0.45	1.28E-07
-0.4	1.37E-07
-0.35	1.32E-07
-0.3	2.86E-07
-0.25	3.41E-07
-0.2	2.34E-07
-0.15	2.20E-07
-0.1	2.27E-07
-0.05	2.68E-07
3.19E-16	2.68E-07
0.05	1.09E-07
0.1	1.53E-07
0.15	2.75E-07
0.2	2.44E-07
0.25	2.18E-07
0.3	1.58E-07
0.35	1.04E-07
0.4	2.27E-07
0.45	3.37E-07
0.5	3.75E-07
0.55	8.95E-08
0.6	1.54E-07
0.65	1.45E-07
0.7	1.81E-07
0.75	1.70E-07
0.8	3.26E-07
0.85	3.37E-07
0.9	3.26E-07
0.95	1.30E-07
1	3.04E-07
1.05	8.42E-08
1.1	2.28E-07
1.15	2.15E-07
1.2	2.84E-07
1.25	3.35E-07
1.3	1.60E-07
1.35	1.50E-07
1.4	1.29E-07
1.45	7.58E-09
1.5	1.37E-07
1.55	-3.06E-07
1.6	-5.10E-07
1.65	-1.33E-06
1.7	-2.60E-06
1.75	-4.68E-06
1.8	-7.94E-06
1.85	-1.30E-05
1.9	-1.89E-05
1.95	-2.54E-05
2	-3.24E-05
2.05	-3.90E-05
2.1	-4.61E-05
2.15	-5.31E-05
2.2	-5.98E-05
2.25	-6.67E-05
2.3	-7.31E-05
2.35	-7.99E-05
2.4	-8.62E-05
2.45	-9.26E-05
2.5	-9.88E-05
2.55	-0.000104702
2.6	-0.000110492
2.65	-0.000116408
2.7	-0.000122492
2.75	-0.000128443
2.8	-0.000134485
2.85	-0.000140389
2.9	-0.000146155
2.95	-0.000151734
3	-0.000157384
3.05	-0.00016316
3.1	-0.000168982
3.15	-0.000174508
3.2	-0.00018001
3.25	-0.000185592
3.3	-0.000191223
3.35	-0.000196839
3.4	-0.000202572
3.45	-0.000208205
3.5	-0.000213819
3.55	-0.000219277
3.6	-0.000224851
3.65	-0.000230423
3.7	-0.000236193
3.75	-0.000241926
3.8	-0.000247748
3.85	-0.000253395
3.9	-0.000259053
3.95	-0.000264754
4	-0.000270705
4.05	-0.000276623
4.1	-0.000282367
4.15	-0.000288367
4.2	-0.000294117
4.25	-0.000299999
4.3	-0.000306011
4.35	-0.000312383
4.4	-0.000318137
4.45	-0.000324191
4.5	-0.000330173
4.55	-0.000336284
4.6	-0.000342105
4.65	-0.000348248
4.7	-0.000354474
4.75	-0.000360746
4.8	-0.000366876
4.85	-0.000372962
4.9	-0.000379436
4.95	-0.000385756
5	-0.000391727
5.05	-0.000397859
5.1	-0.000404152
5.15	-0.000410578
5.2	-0.000416985
5.25	-0.000423495
5.3	-0.000430025
5.35	-0.000436486
5.4	-0.000443006
5.45	-0.000449448
5.5	-0.000455939
5.55	-0.000462528
5.6	-0.0004692
5.65	-0.000475769
5.7	-0.000482612
5.75	-0.000489125
5.8	-0.000495875
5.85	-0.000503086
5.9	-0.000509934
5.95	-0.000516885
6	-0.000523949
6.05	-0.000531142
6.1	-0.00053848
6.15	-0.000545811
6.2	-0.000553266
6.25	-0.000560668
6.3	-0.000568164
6.35	-0.000575706
6.4	-0.000583279
6.45	-0.000590927
6.5	-0.000598228
6.55	-0.000605837
6.6	-0.000613201
6.65	-0.000620588
6.7	-0.00062822
6.75	-0.000635627
6.8	-0.000643259
6.85	-0.000650678
6.9	-0.000658315
6.95	-0.000665807
7	-0.000673377
7.05	-0.000680736
7.1	-0.000688166
7.15	-0.000695696
7.2	-0.000703207
7.25	-0.000710773
7.3	-0.00071812
7.35	-0.000725649
7.4	-0.000732961
7.45	-0.000740357
7.5	-0.00074791
7.55	-0.00075538
7.6	-0.000763248
7.65	-0.000770642
7.7	-0.000777996
7.75	-0.000785499
7.8	-0.000792926
7.85	-0.000800667
7.9	-0.000808133
7.95	-0.000815806
8	-0.000823522
8.05	-0.000831178
8.1	-0.000838623
8.15	-0.000846408
8.2	-0.000854016
8.25	-0.000861956
8.3	-0.000869557
8.35	-0.000877309
8.4	-0.000885042
8.45	-0.000892834
8.5	-0.000900763
8.55	-0.000908662
8.6	-0.000916365
8.65	-0.000924088
8.7	-0.000931847
8.75	-0.000939756
8.8	-0.000947548
8.85	-0.000955827
8.9	-0.00096346
8.95	-0.000971422
9	-0.000979068
9.05	-0.000987142
9.1	-0.000995068
9.15	-0.0010031
9.2	-0.00101085
9.25	-0.00101888
9.3	-0.00102696
9.35	-0.00103488
9.4	-0.00104283
9.45	-0.00105067
9.5	-0.00105836
9.55	-0.00106625
9.6	-0.00107404
9.65	-0.00108194
9.7	-0.00108976
9.75	-0.00109766
9.8	-0.00110551
9.85	-0.00111336
9.9	-0.0011211
9.95	-0.00112885
