accelerating voltage - Plot 0	shield current (amps) - Plot 0
-1	7.35E-07
-0.95	8.47E-07
-0.9	8.87E-07
-0.85	8.14E-07
-0.8	7.48E-07
-0.75	8.87E-07
-0.7	9.00E-07
-0.65	8.21E-07
-0.6	9.59E-07
-0.55	9.13E-07
-0.5	8.34E-07
-0.45	7.94E-07
-0.4	8.87E-07
-0.35	8.34E-07
-0.3	8.14E-07
-0.25	8.14E-07
-0.2	8.07E-07
-0.15	7.88E-07
-0.1	7.41E-07
-0.05	7.61E-07
3.19E-16	7.68E-07
0.05	6.69E-07
0.1	6.62E-07
0.15	5.43E-07
0.2	4.71E-07
0.25	1.07E-07
0.3	-2.29E-07
0.35	-6.72E-07
0.4	-1.38E-06
0.45	-2.32E-06
0.5	-3.55E-06
0.55	-5.44E-06
0.6	-7.74E-06
0.65	-1.08E-05
0.7	-1.41E-05
0.75	-1.79E-05
0.8	-2.20E-05
0.85	-2.62E-05
0.9	-3.08E-05
0.95	-3.54E-05
1	-4.03E-05
1.05	-4.56E-05
1.1	-5.05E-05
1.15	-5.59E-05
1.2	-6.14E-05
1.25	-6.68E-05
1.3	-7.26E-05
1.35	-7.84E-05
1.4	-8.41E-05
1.45	-9.01E-05
1.5	-9.61E-05
1.55	-0.000101762
1.6	-0.000107937
1.65	-0.000113986
1.7	-0.000119929
1.75	-0.00012615
1.8	-0.000132226
1.85	-0.000138314
1.9	-0.000144416
1.95	-0.000150459
2	-0.000156501
2.05	-0.000162398
2.1	-0.000168355
2.15	-0.000173975
2.2	-0.000179595
2.25	-0.000185155
2.3	-0.000190603
2.35	-0.000195853
2.4	-0.000201136
2.45	-0.000205957
2.5	-0.000211009
2.55	-0.000215849
2.6	-0.000220419
2.65	-0.000225108
2.7	-0.000229526
2.75	-0.000233719
2.8	-0.000238111
2.85	-0.000242172
2.9	-0.000246095
2.95	-0.000250024
3	-0.000253907
3.05	-0.000257592
3.1	-0.000261072
3.15	-0.000264691
3.2	-0.000268158
3.25	-0.000271579
3.3	-0.000274729
3.35	-0.000277826
3.4	-0.000281002
3.45	-0.000283809
3.5	-0.000286767
3.55	-0.000289581
3.6	-0.000292427
3.65	-0.000295128
3.7	-0.00029775
3.75	-0.000300305
3.8	-0.000302821
3.85	-0.000305284
3.9	-0.000307721
3.95	-0.000310026
4	-0.000312278
4.05	-0.000314292
4.1	-0.000316517
4.15	-0.000318624
4.2	-0.000320817
4.25	-0.000322811
4.3	-0.000324851
4.35	-0.000326932
4.4	-0.000328754
4.45	-0.000330597
4.5	-0.000332505
4.55	-0.000334163
4.6	-0.000336018
4.65	-0.000337742
4.7	-0.000339584
4.75	-0.000341169
4.8	-0.000342794
4.85	-0.000344438
4.9	-0.000345924
4.95	-0.000347588
5	-0.0003492
5.05	-0.000350699
5.1	-0.000352171
5.15	-0.000353466
5.2	-0.000355031
5.25	-0.000356285
5.3	-0.000357705
5.35	-0.000359085
5.4	-0.000360281
5.45	-0.000361674
5.5	-0.000363094
5.55	-0.000364388
5.6	-0.000365676
5.65	-0.000366772
5.7	-0.000368113
5.75	-0.000369473
5.8	-0.000370497
5.85	-0.000371699
5.9	-0.00037296
5.95	-0.000373997
6	-0.000375152
