accelerating voltage - Plot 0	shield current (amps) - Plot 0
-1	8.14E-07
-0.95	8.60E-07
-0.9	8.07E-07
-0.85	7.55E-07
-0.8	8.21E-07
-0.75	6.82E-07
-0.7	9.40E-07
-0.65	8.60E-07
-0.6	8.67E-07
-0.55	8.01E-07
-0.5	8.67E-07
-0.45	8.07E-07
-0.4	8.87E-07
-0.35	8.80E-07
-0.3	7.15E-07
-0.25	8.40E-07
-0.2	9.20E-07
-0.15	6.95E-07
-0.1	7.68E-07
-0.05	7.48E-07
3.19E-16	5.37E-07
0.05	3.85E-07
0.1	-3.78E-08
0.15	-3.68E-07
0.2	-1.08E-06
0.25	-1.97E-06
0.3	-3.27E-06
0.35	-4.96E-06
0.4	-6.96E-06
0.45	-9.81E-06
0.5	-1.33E-05
0.55	-1.74E-05
0.6	-2.18E-05
0.65	-2.66E-05
0.7	-3.17E-05
0.75	-3.70E-05
0.8	-4.25E-05
0.85	-4.81E-05
0.9	-5.39E-05
0.95	-5.99E-05
1	-6.61E-05
1.05	-7.24E-05
1.1	-7.89E-05
1.15	-8.55E-05
1.2	-9.21E-05
1.25	-9.89E-05
1.3	-0.000105883
1.35	-0.000112863
1.4	-0.000120048
1.45	-0.000127299
1.5	-0.000134563
1.55	-0.000141933
1.6	-0.000149561
1.65	-0.000157241
1.7	-0.000165007
1.75	-0.00017268
1.8	-0.000180572
1.85	-0.000188378
1.9	-0.000196441
1.95	-0.000204379
2	-0.000212515
2.05	-0.000220571
2.1	-0.000228859
2.15	-0.000237232
2.2	-0.000245415
2.25	-0.00025392
2.3	-0.000262234
2.35	-0.000270648
2.4	-0.000279166
2.45	-0.000287659
2.5	-0.00029635
2.55	-0.000304895
2.6	-0.000313539
2.65	-0.00032219
2.7	-0.000330801
2.75	-0.000339472
2.8	-0.000348097
2.85	-0.000356748
2.9	-0.000365478
2.95	-0.000374135
3	-0.000382919
3.05	-0.000391662
3.1	-0.0004003
3.15	-0.000409169
3.2	-0.000417773
3.25	-0.00042651
3.3	-0.000435207
3.35	-0.000443911
3.4	-0.000452641
3.45	-0.000461471
3.5	-0.000470062
3.55	-0.000478687
3.6	-0.000487437
3.65	-0.000496121
3.7	-0.000504798
3.75	-0.00051337
3.8	-0.00052208
3.85	-0.000530553
3.9	-0.000539111
3.95	-0.00054767
4	-0.000556235
4.05	-0.000564939
4.1	-0.000573451
4.15	-0.000582108
4.2	-0.000590396
4.25	-0.000598974
4.3	-0.000607586
4.35	-0.000616092
4.4	-0.000624676
4.45	-0.000633175
4.5	-0.000641793
4.55	-0.0006502
4.6	-0.000658838
4.65	-0.000667291
4.7	-0.000675876
4.75	-0.000684394
4.8	-0.000692927
4.85	-0.000701412
4.9	-0.000709898
4.95	-0.000718338
5	-0.000726771
5.05	-0.000735211
5.1	-0.00074367
5.15	-0.000751912
5.2	-0.000760259
5.25	-0.000768665
5.3	-0.000777052
5.35	-0.000785294
5.4	-0.000793515
5.45	-0.000801684
5.5	-0.000810012
5.55	-0.000818095
5.6	-0.00082629
5.65	-0.000834366
5.7	-0.000842403
5.75	-0.000850275
5.8	-0.000858345
5.85	-0.000866164
5.9	-0.000874075
5.95	-0.000881999
6	-0.000889825
6.05	-0.000897591
6.1	-0.000905364
6.15	-0.000913103
6.2	-0.000920869
6.25	-0.00092855
6.3	-0.000936223
6.35	-0.000943923
6.4	-0.000951432
6.45	-0.000959132
6.5	-0.000966607
6.55	-0.000974215
6.6	-0.000981591
6.65	-0.000989086
6.7	-0.000996608
6.75	-0.00100394
6.8	-0.00101128
6.85	-0.00101867
6.9	-0.00102577
6.95	-0.00103285
7	-0.00103989
7.05	-0.00104715
7.1	-0.00105417
7.15	-0.00106115
7.2	-0.00106815
7.25	-0.00107498
7.3	-0.00108186
7.35	-0.00108865
7.4	-0.00109557
7.45	-0.00110206
7.5	-0.00110881
7.55	-0.00111539
7.6	-0.00112216
7.65	-0.00112863
7.7	-0.00113529
7.75	-0.00114171
7.8	-0.00114817
7.85	-0.00115449
7.9	-0.00116092
7.95	-0.00116728
8	-0.00117366
8.05	-0.00117996
8.1	-0.00118616
8.15	-0.00119236
8.2	-0.00119841
8.25	-0.00120464
8.3	-0.00121052
8.35	-0.00121668
8.4	-0.00122277
8.45	-0.00122867
8.5	-0.00123454
8.55	-0.00124041
8.6	-0.00124613
8.65	-0.00125213
8.7	-0.00125789
8.75	-0.00126343
8.8	-0.00126916
8.85	-0.00127477
8.9	-0.00128024
8.95	-0.00128579
9	-0.00129116
9.05	-0.00129662
9.1	-0.00130199
9.15	-0.00130726
9.2	-0.0013127
9.25	-0.00131788
9.3	-0.00132323
9.35	-0.00132832
9.4	-0.00133346
9.45	-0.00133856
9.5	-0.0013436
9.55	-0.00134854
9.6	-0.0013536
9.65	-0.00135861
9.7	-0.00136344
9.75	-0.00136822
9.8	-0.00137307
9.85	-0.0013779
9.9	-0.00138253
9.95	-0.00138726
